timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow,chest
1747092057.2161808,"84.0,0.0,0.0","78.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.266551,"86.0,0.0,0.0","79.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.3174644,"90.0,0.0,0.0","80.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.3685613,"91.0,0.0,0.0","81.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.4190843,"91.0,0.0,0.0","81.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.4700801,"92.0,0.0,0.0","81.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.5206108,"92.0,0.0,0.0","81.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.5716069,"93.0,0.0,0.0","81.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.6221414,"93.0,0.0,0.0","81.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.6811402,"93.0,0.0,0.0","81.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.7316637,"95.0,0.0,0.0","81.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.78266,"95.0,0.0,0.0","81.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.833717,"95.0,0.0,0.0","81.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.8847136,"95.0,0.0,0.0","81.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.9350505,"95.0,0.0,0.0","80.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.986049,"95.0,0.0,0.0","80.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092058.036583,"95.0,0.0,0.0","80.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
