timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow,chest
1747092048.5910175,"974.85,159.91,-6.35,-0.61,1.10,-0.24,-48.00,-24.45,33.60,0.72,0.13,-0.68,0.01","889.65,-354.49,-155.27,-2.56,1.65,1.71,-47.10,-42.00,-3.30,0.62,-0.44,-0.62,-0.16","984.62,-132.57,-122.07,-3.78,-0.37,0.61,-21.30,4.05,-25.35,0.39,-0.66,-0.36,-0.54","854.25,-465.33,251.71,0.43,0.73,0.43,-16.20,-33.60,-45.45,0.65,-0.54,-0.28,-0.45","-103.52,904.30,-364.26,0.37,-1.22,0.37,8.55,-2.70,-11.40,0.24,0.27,0.78,0.51"
1747092048.641093,"977.05,167.97,-5.86,-1.10,0.92,0.06,-50.40,-23.10,32.40,0.72,0.13,-0.68,0.01","882.32,-354.49,-164.06,-1.40,1.04,1.52,-47.10,-40.95,-3.90,0.62,-0.44,-0.62,-0.16","991.70,-136.23,-121.83,-2.81,0.24,0.49,-21.60,4.50,-25.50,0.39,-0.66,-0.35,-0.54","865.97,-458.50,251.95,0.37,0.49,0.37,-17.40,-34.65,-45.45,0.65,-0.54,-0.28,-0.45","-107.67,898.19,-364.50,0.24,-0.61,0.24,9.00,-3.75,-12.45,0.24,0.27,0.78,0.51"
1747092048.6921034,"975.10,160.89,-4.39,0.18,0.85,-0.18,-50.40,-23.85,34.20,0.72,0.13,-0.68,0.01","897.22,-347.41,-161.13,-2.26,1.58,1.77,-45.75,-41.25,-4.35,0.62,-0.44,-0.62,-0.16","985.11,-125.24,-114.99,-3.05,-0.12,0.12,-20.10,3.75,-25.50,0.39,-0.66,-0.35,-0.54","860.60,-453.12,254.88,0.43,0.92,0.24,-17.70,-35.40,-44.85,0.65,-0.54,-0.28,-0.45","-108.15,897.95,-365.23,0.61,-1.52,0.24,8.40,-2.85,-13.05,0.24,0.27,0.78,0.51"
1747092048.742637,"974.12,163.57,-1.47,-0.49,0.37,0.24,-50.25,-22.20,33.30,0.72,0.13,-0.68,0.01","889.40,-358.64,-161.87,-2.13,1.89,1.77,-45.60,-39.60,-4.20,0.62,-0.44,-0.62,-0.16","989.75,-137.69,-110.60,-2.56,0.12,0.43,-21.15,2.70,-27.75,0.39,-0.66,-0.35,-0.54","864.26,-459.23,248.78,0.06,0.73,0.30,-16.65,-34.65,-45.90,0.65,-0.54,-0.28,-0.45","-107.91,891.36,-373.54,-0.49,-1.22,0.18,8.25,-0.30,-11.85,0.24,0.27,0.78,0.51"
1747092048.7926404,"975.59,167.48,-8.54,-1.46,0.49,-0.18,-49.65,-21.90,33.15,0.72,0.13,-0.68,0.01","887.21,-351.81,-153.56,-1.28,1.04,1.77,-45.30,-40.65,-3.90,0.62,-0.44,-0.62,-0.16","983.64,-132.57,-114.99,-2.74,0.30,0.43,-20.40,4.50,-25.50,0.39,-0.66,-0.35,-0.54","865.72,-467.04,255.13,0.00,0.55,0.37,-17.70,-35.40,-44.85,0.65,-0.54,-0.28,-0.45","-112.79,892.82,-361.08,-0.18,-0.92,0.12,8.85,-2.10,-12.00,0.24,0.27,0.78,0.51"
1747092048.8432891,"973.39,163.33,-0.24,0.61,0.55,-0.85,-50.10,-23.40,32.40,0.72,0.13,-0.68,0.01","893.07,-364.99,-169.43,-1.71,1.52,1.46,-46.80,-41.25,-3.30,0.62,-0.44,-0.62,-0.16","979.49,-136.47,-123.78,-1.83,0.18,0.61,-22.35,4.20,-25.50,0.39,-0.66,-0.35,-0.54","869.38,-459.23,256.84,0.49,0.18,0.30,-17.10,-34.95,-45.30,0.65,-0.54,-0.28,-0.45","-93.26,892.33,-361.57,-0.73,-0.12,0.18,8.85,-3.30,-13.05,0.24,0.27,0.78,0.51"
1747092048.893301,"964.84,165.28,-7.32,1.10,0.85,0.12,-50.25,-22.20,32.25,0.72,0.13,-0.68,0.01","896.97,-355.71,-153.32,-1.46,0.61,2.01,-46.05,-41.70,-3.60,0.62,-0.44,-0.62,-0.16","979.98,-132.08,-120.61,-1.34,0.61,0.98,-21.30,4.35,-25.35,0.39,-0.66,-0.35,-0.54","871.83,-453.61,252.44,0.61,-0.06,-0.37,-16.05,-32.70,-45.30,0.65,-0.54,-0.28,-0.45","-99.85,900.15,-371.34,-0.24,-0.12,0.43,9.00,-3.00,-11.85,0.24,0.27,0.78,0.51"
1747092048.9433427,"975.59,162.60,-3.17,-1.16,0.24,-0.24,-50.10,-22.65,34.20,0.72,0.12,-0.68,0.01","883.06,-350.59,-157.72,-0.98,1.16,0.85,-46.20,-41.85,-4.50,0.62,-0.44,-0.62,-0.16","992.68,-125.98,-127.93,-3.11,0.00,-0.30,-21.00,5.10,-27.15,0.39,-0.66,-0.35,-0.54","860.35,-461.43,250.98,0.30,0.18,0.61,-17.40,-36.15,-45.90,0.65,-0.54,-0.28,-0.45","-100.59,891.11,-364.01,-0.49,-0.43,-0.06,7.65,-4.35,-12.30,0.24,0.27,0.78,0.51"
1747092048.9933596,"979.00,167.72,-1.95,1.71,1.22,0.30,-50.10,-24.30,33.90,0.72,0.12,-0.68,0.01","893.55,-344.73,-159.67,-2.26,1.28,1.89,-46.35,-40.95,-4.95,0.62,-0.44,-0.62,-0.16","991.46,-131.35,-125.73,-2.74,0.24,0.06,-21.90,4.20,-27.75,0.39,-0.66,-0.35,-0.54","860.60,-461.43,254.88,-0.12,0.67,0.00,-15.45,-35.25,-42.90,0.65,-0.54,-0.28,-0.45","-109.86,898.93,-379.15,-0.37,-1.28,0.12,8.40,-2.10,-13.05,0.24,0.27,0.79,0.51"
1747092049.0438743,"971.19,164.06,-8.54,-1.34,0.18,0.30,-49.50,-23.70,34.05,0.72,0.12,-0.68,0.01","888.43,-354.49,-158.94,-2.07,1.22,1.58,-46.05,-41.25,-3.90,0.62,-0.44,-0.62,-0.16","985.11,-128.42,-118.90,-2.19,0.37,-0.43,-20.55,4.80,-27.15,0.39,-0.66,-0.35,-0.54","859.62,-457.03,250.24,0.37,0.24,0.79,-16.65,-35.40,-45.15,0.65,-0.54,-0.28,-0.45","-102.54,898.44,-369.38,-1.40,0.00,0.18,7.65,-1.35,-12.00,0.24,0.27,0.78,0.51"
