timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow
1747092051.2578337,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.3085504,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.3595078,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.4099877,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.4608235,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.5112598,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.5617616,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.6122968,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.6622982,"-89.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.7128239,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092051.763821,"-87.0,0.0,0.0","-83.0,0.0,0.0","0.0,0.0,0.0","-7.0,0.0,0.0"
1747092051.8147514,"-87.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-7.0,0.0,0.0"
1747092051.8647535,"-86.0,0.0,0.0","-82.0,0.0,0.0","-2.0,0.0,0.0","-7.0,0.0,0.0"
1747092051.9148,"-86.0,0.0,0.0","-83.0,0.0,0.0","-3.0,0.0,0.0","-7.0,0.0,0.0"
1747092051.9657993,"-86.0,0.0,0.0","-82.0,0.0,0.0","-3.0,0.0,0.0","-8.0,0.0,0.0"
1747092052.0163236,"-86.0,0.0,0.0","-83.0,0.0,0.0","-3.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.0663245,"-86.0,0.0,0.0","-83.0,0.0,0.0","-3.0,0.0,0.0","-6.0,0.0,0.0"
1747092052.1168585,"-86.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.166954,"-86.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.2184896,"-86.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.2694848,"-86.0,0.0,0.0","-82.0,0.0,0.0","-2.0,0.0,0.0","-7.0,0.0,0.0"
1747092052.319531,"-86.0,0.0,0.0","-82.0,0.0,0.0","-2.0,0.0,0.0","-7.0,0.0,0.0"
